Example,JerkConstrained,RunCompleted,PlannerSuccess,ValidationPassed,CollisionFree,KinematicsPassed,CertificatePassed,FiniteJerkCertified,FiniteJerkNumericallyVerified,TerminationReason,Message,SelectedPolylineLength_deg,SmoothedPathLength_deg,MinimumMotionDuration_s,SampleCount,WallTime_s
exampleAlternatingSlalom,1,1,1,1,1,1,0,0,1,goalReached,Adaptive visibility and numerically verified COPP retiming succeeded.,43.0078377692258,42.8731973660509,44.2008277447578,4980,44.2174115
exampleAzElPlanning,1,1,1,1,1,1,0,0,1,goalReached,Adaptive visibility and numerically verified COPP retiming succeeded.,14.8800818587235,14.8761642274833,13.7764882529433,1949,6.7613387
exampleFourAcceleratingCircles,1,1,1,1,1,1,0,0,1,goalReached,Adaptive visibility and numerically verified COPP retiming succeeded.,20,20,13.120664944502,1241,9.925848
exampleInterceptMovingTargetAtSetTime,1,1,1,1,1,1,0,0,1,goalReached,Adaptive visibility and numerically verified COPP retiming succeeded.,9.53894054682111,9.53894054682111,7.47059741700784,1036,0.3116025
exampleInterceptMovingTargetEarliest,1,1,1,1,1,1,0,0,1,goalReached,Adaptive visibility and numerically verified COPP retiming succeeded.,9.64068712673449,9.64068712673449,7.42946427263297,950,7.6084124
exampleMovingCircleNoAzimuthWrap,1,1,1,1,1,1,0,0,1,goalReached,Adaptive visibility and numerically verified COPP retiming succeeded.,24,24,15.16407542062,1104,2.5548862
exampleOpeningUShapedAzElTimeSpace,1,1,1,1,1,1,0,0,1,goalReached,Adaptive visibility and numerically verified COPP retiming succeeded.,10,10,7.98774394874904,1033,3.5151815
exampleStraightTargetAlternatingOcclusion,1,1,1,1,1,1,0,0,1,goalReached,Adaptive visibility and numerically verified COPP retiming succeeded.,13.565867030706,13.5642598499094,12.5262830882743,1599,8.9178535
exampleTargetExitsObstacle,1,1,1,1,1,1,0,0,1,goalReached,Adaptive visibility and numerically verified COPP retiming succeeded.,20.1715333920845,20.1695096489989,18.2513271836061,1846,5.6282967
exampleTwoOpposingUVisibilityGraph,1,1,1,1,1,1,0,0,1,goalReached,Adaptive visibility and numerically verified COPP retiming succeeded.,24.0471325213909,24.0431340934687,25.6532442355995,2108,5.8266674
exampleUShapedAzElTimeSpace,1,1,1,1,1,1,0,0,1,goalReached,Adaptive visibility and numerically verified COPP retiming succeeded.,35.0301358780981,35.0120795064539,31.4153216422095,1952,2.9719106
exampleUSOutlineExtremeVisibility,1,1,1,1,1,1,0,0,1,goalReached,Adaptive visibility and numerically verified COPP retiming succeeded.,18.8025036478853,18.799001121829,8.72722974395489,1382,52.4911563
